Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),Environment:Wind Speed [m/s](Hourly),Environment:Wind Direction [deg](Hourly),ZONE:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,6.99166666666667,1.08333333333333,50.,23.0257540786754 
 01/01  02:00:00,7.2,1.225,99.1666666666667,22.8199400022385 
 01/01  03:00:00,6.90833333333333,2.1,193.333333333333,22.5909830962583 
 01/01  04:00:00,6.35,1.75,204.166666666667,22.3412097398918 
 01/01  05:00:00,5.10833333333333,2.43333333333333,235.,22.0631924450542 
 01/01  06:00:00,4.4,2.51666666666667,213.333333333333,21.7894095184043 
 01/01  07:00:00,5.39166666666667,0.875,75.,21.6108478713468 
 01/01  08:00:00,5.45833333333333,0.0,0.0,21.6277947565384 
 01/01  09:00:00,6.63333333333333,0.0,0.0,22.9131362752611 
 01/01  10:00:00,8.44166666666667,0.0,0.0,24.8501237067532 
 01/01  11:00:00,9.19166666666667,0.875,17.5,26.4413869089668 
 01/01  12:00:00,9.75,1.5,35.8333333333333,27.3774795580625 
 01/01  13:00:00,10.35,1.5,45.8333333333333,28.0508765555499 
 01/01  14:00:00,10.8916666666667,0.625,20.8333333333333,29.112788239109 
 01/01  15:00:00,12.7333333333333,0.0,0.0,30.7930038577985 
 01/01  16:00:00,13.9,1.80833333333333,192.5,31.0351926426363 
 01/01  17:00:00,12.2666666666667,3.1,341.666666666667,27.9605403089718 
 01/01  18:00:00,11.1,2.16666666666667,326.666666666667,25.8901031505006 
 01/01  19:00:00,10.8083333333333,1.5,286.666666666667,25.2340220625142 
 01/01  20:00:00,10.6,1.85,229.166666666667,24.7899179048164 
 01/01  21:00:00,9.60833333333333,2.1,200.,24.4010302273248 
 01/01  22:00:00,9.19166666666667,2.1,229.166666666667,24.0443857616972 
 01/01  23:00:00,8.46666666666667,1.75,203.333333333333,23.7437276806005 
 01/01  24:00:00,7.15833333333333,2.14166666666667,140.833333333333,23.408717501747 
 01/02  01:00:00,7.98333333333333,2.30833333333333,90.8333333333333,23.1647931454606 
 01/02  02:00:00,7.26666666666667,0.875,29.1666666666667,22.9524815346532 
 01/02  03:00:00,5.80833333333333,0.0,0.0,22.6430146628586 
 01/02  04:00:00,4.60833333333333,0.0,0.0,22.3604963847991 
 01/02  05:00:00,4.89166666666667,0.875,110.833333333333,22.1084045402907 
 01/02  06:00:00,6.53333333333333,2.43333333333333,137.5,21.961877857516 
 01/02  07:00:00,7.55,3.68333333333333,117.5,21.8307523178794 
 01/02  08:00:00,7.45,5.03333333333333,130.,21.8260526896734 
 01/02  09:00:00,9.18333333333333,5.99166666666667,118.333333333333,23.0043002668315 
 01/02  10:00:00,11.2416666666667,5.61666666666667,115.833333333333,24.8553935916316 
 01/02  11:00:00,12.9833333333333,4.26666666666667,108.333333333333,26.2173322102215 
 01/02  12:00:00,13.9,3.89166666666667,100.,27.7004675591021 
 01/02  13:00:00,13.9,1.70833333333333,41.6666666666667,28.8439995698791 
 01/02  14:00:00,13.9,1.225,23.3333333333333,29.3073944366539 
 01/02  15:00:00,12.9083333333333,2.1,40.,30.1745090119814 
 01/02  16:00:00,12.55,2.68333333333333,220.833333333333,30.4076628757093 
 01/02  17:00:00,11.8083333333333,3.68333333333333,355.833333333333,27.6423504045187 
 01/02  18:00:00,10.8083333333333,1.70833333333333,150.,25.7064430041705 
 01/02  19:00:00,11.2416666666667,0.0,0.0,25.1065827070686 
 01/02  20:00:00,11.7,0.875,87.5,24.7282520735307 
 01/02  21:00:00,10.7083333333333,1.5,109.166666666667,24.3656165339241 
 01/02  22:00:00,9.35833333333333,0.625,33.3333333333333,23.9968947565536 
 01/02  23:00:00,9.19166666666667,0.0,0.0,23.7008442001275 
 01/02  24:00:00,9.10833333333333,0.0,0.0,23.4585255426645 
 01/03  01:00:00,9.19166666666667,1.51666666666667,52.5,23.2250806988969 
 01/03  02:00:00,9.75,4.11666666666667,90.,23.0377357941678 
 01/03  03:00:00,11.2833333333333,3.04166666666667,72.5,22.9142338265545 
 01/03  04:00:00,13.1916666666667,5.40833333333333,54.1666666666667,22.8658784254763 
 01/03  05:00:00,13.2583333333333,10.0083333333333,44.1666666666667,22.7723827794187 
 01/03  06:00:00,12.45,10.7166666666667,34.1666666666667,22.5827513037222 
 01/03  07:00:00,11.5583333333333,10.3,30.,22.3824182285986 
 01/03  08:00:00,11.1,9.075,41.6666666666667,22.3442603862173 
 01/03  09:00:00,11.45,5.80833333333333,67.5,23.3622891868493 
 01/03  10:00:00,12.6333333333333,3.225,97.5,24.8868478139113 
 01/03  11:00:00,12.6583333333333,3.475,92.5,26.2847669833637 
 01/03  12:00:00,13.8333333333333,3.225,97.5,27.1466579233126 
 01/03  13:00:00,15.35,2.30833333333333,121.666666666667,28.215318650573 
 01/03  14:00:00,15.8916666666667,0.875,54.1666666666667,29.3062767883674 
 01/03  15:00:00,16.1,0.875,52.5,29.7759028719184 
 01/03  16:00:00,14.8166666666667,1.85,78.3333333333333,29.2580062803201 
 01/03  17:00:00,13.9,0.875,29.1666666666667,26.9039023341276 
 01/03  18:00:00,13.2583333333333,1.225,87.5,25.5497238680592 
 01/03  19:00:00,12.45,1.75,132.5,25.0197593339582 
 01/03  20:00:00,11.2666666666667,0.625,50.,24.6249472991528 
 01/03  21:00:00,10.25,1.225,70.,24.2670722024515 
 01/03  22:00:00,9.35833333333333,0.875,50.,23.9504359420931 
 01/03  23:00:00,8.9,1.51666666666667,204.166666666667,23.666996021274 
 01/03  24:00:00,8.9,3.76666666666667,355.833333333333,23.4215870381729 
 01/04  01:00:00,8.55,1.91666666666667,150.,23.1914818031175 
 01/04  02:00:00,8.00833333333333,0.0,0.0,22.9617894898888 
 01/04  03:00:00,8.09166666666667,1.51666666666667,210.,22.7404356838705 
 01/04  04:00:00,7.01666666666667,1.08333333333333,150.,22.505949953128 
 01/04  05:00:00,5.10833333333333,0.875,99.1666666666667,22.1925280158066 
 01/04  06:00:00,5.39166666666667,0.625,70.8333333333333,21.9491338089233 
 01/04  07:00:00,5.45833333333333,0.0,0.0,21.7734831745703 
 01/04  08:00:00,5.99166666666667,0.875,58.3333333333333,21.6867427390816 
 01/04  09:00:00,7.63333333333333,3.01666666666667,53.3333333333333,22.4259820532878 
 01/04  10:00:00,8.65,4.1,14.1666666666667,23.0149137021467 
 01/04  11:00:00,8.9,3.51666666666667,10.,23.7463034342116 
 01/04  12:00:00,9.54166666666667,2.51666666666667,21.6666666666667,25.3594250092011 
 01/04  13:00:00,10.35,1.75,18.3333333333333,26.2537427550286 
 01/04  14:00:00,10.6,0.625,4.16666666666667,27.5084438233688 
 01/04  15:00:00,10.25,1.225,11.6666666666667,27.1992943179952 
 01/04  16:00:00,10.35,2.39166666666667,14.1666666666667,26.3822655958522 
 01/04  17:00:00,10.25,1.08333333333333,4.16666666666667,24.6868930298391 
 01/04  18:00:00,10.,0.0,0.0,23.6831150616754 
 01/04  19:00:00,9.65,0.0,0.0,23.2727776405202 
 01/04  20:00:00,9.4,0.0,0.0,22.9582657519414 
 01/04  21:00:00,9.10833333333333,0.875,40.8333333333333,22.6920262806959 
 01/04  22:00:00,8.9,1.5,40.8333333333333,22.4493933337064 
 01/04  23:00:00,7.90833333333333,2.14166666666667,84.1666666666667,22.1984353387121 
 01/04  24:00:00,7.84166666666667,2.89166666666667,264.166666666667,21.9527880340846 
 01/05  01:00:00,8.00833333333333,2.51666666666667,155.833333333333,21.772863317974 
 01/05  02:00:00,7.8,2.1,15.8333333333333,21.5690617967531 
 01/05  03:00:00,6.16666666666667,0.875,8.33333333333333,21.3214501223432 
 01/05  04:00:00,4.35833333333333,0.875,110.833333333333,21.0098536990615 
 01/05  05:00:00,4.19166666666667,0.625,79.1666666666667,20.766688666083 
 01/05  06:00:00,4.10833333333333,0.0,0.0,20.5713551583421 
 01/05  07:00:00,5.18333333333333,1.225,210.,20.4002825266573 
 01/05  08:00:00,6.45,3.26666666666667,360.,20.4009611321443 
 01/05  09:00:00,6.99166666666667,3.225,360.,21.2943540569295 
 01/05  10:00:00,7.2,3.18333333333333,155.833333333333,22.2994630224445 
 01/05  11:00:00,7.84166666666667,3.6,10.,24.0083354907568 
 01/05  12:00:00,8.65,3.6,10.,25.6314648898375 
 01/05  13:00:00,9.19166666666667,2.725,15.8333333333333,26.9203268839239 
 01/05  14:00:00,10.1,2.1,218.333333333333,28.4272107267897 
 01/05  15:00:00,10.8916666666667,2.975,360.,29.7628400638145 
 01/05  16:00:00,10.4583333333333,2.725,360.,29.7848628783633 
 01/05  17:00:00,10.35,0.875,150.,26.7225430287812 
 01/05  18:00:00,9.9,0.875,17.5,24.5672172234591 
 01/05  19:00:00,9.10833333333333,0.625,12.5,23.8510456566402 
 01/05  20:00:00,8.9,0.0,0.0,23.386087442244 
 01/05  21:00:00,8.25833333333333,0.875,87.5,22.99858814614 
